headlines,outcome
"Fact Check: No, COVID-19 Doesnâ€™t Have Its Own PH Value, Experts Advice Boosting Immunity To Fight Against Coronavirus",0
An image states that mask use causes pneumonia and hypoxia,0
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,0
A photo of a beach with lots of boats and a message that says there are infected inmigrants in Argelia preparing to travel to Spain.,0
A picture allegedly showing a crowd in Berlin on August 1st protesting agains German government meassures against COVID-19.,0
"Pedro Sanchez, president of government of Spain, spoke about a Scientific Committee and now the government recognize that committee never existed.",0
"Mask can cause a lot of diseases, the WHO has said, and asymptomatic patients donâ€™t pass on the virus. Also, there is a lot of false positive PCR tests.",0
An image from an episode of Futurama claims the show forbade time to travel back to 2020.,0
Photo from the demonstration against meassures by the German government to stop the pandemic.,0
Spanish Prime Minister Pedro Sanchez told people to invest in Bitcoin during the pandemic,0
"A video shows a mannequin being taken out of an ambulance, and claims the media is trying to fool the audience to make them think itâ€™s a COVID-19 patient.",0
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the Covid-19 pandemic.",0
"Facebook posts shared thousands of times claim Washingtonâ€™s mayor exempted members of Congress from a 14-day quarantine after they traveled to the funeral of civil rights icon John Lewis in Georgia, which the city considers a â€œhigh-riskâ€ state for the coronavirus.",0
"A picture allegedly showing a large crowd (more than a million people) gathered in Berlin on August 1st, 2020 to protest against the restrictive measures imposed by the government during the COVID-19 pandemic.",0
A photo collage has been shared hundreds of times in multiple posts on Facebook alongside a claim the images were taken during a protest against coronavirus restrictions in Germany in August 2020.,0
A photo has been shared thousands of times in multiple posts on Facebook and Twitter which claim it shows a protest against coronavirus restrictions in the German capital of Berlin in August 2020.,0
"A picture allegedly showing a large crowd gathered in Berlin on August 1st, 2020 to protest against the â€œHealth dictatorshipâ€ imposed by the government to stop the Covid-19 pandemic.",0
"List of substances that cure coronavirus, according to a Cali doctor.",0
Adidas is giving away face masks.,0
A street protest criticizing Japanese Prime Minister Shinzo Abeâ€™s government is the source of the â€œnight life city clusterâ€,0
63 intensive care beds were occupied by infected protesters,0
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,0
An image published by the Argentine journalist Viviana Canosa of two people not respecting social distancing at the Casa Rosada,0
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",0
"Tasuku Honjo, Nobel Prize in Medicine, said that the coronavirus â€œis not naturalâ€",0
The vaccine against the new coronavirus has existed since 2001,0
A publication that claims that a doctor from the MuÃ±iz hospital named â€œMarcos Vargasâ€ died from treating patients with coronavirus,0
A post that claims that cigarette smoke transmits the coronavirus,0
Adidas is giving away face masks.,0
"Axel Kicillof (Governor of the Province of Buenos Aires, Argentina): â€œThe North American economy suffered a drop in its GDP of 33%. It is the biggest drop in the last 70 years â€",0
South Korea study finds quarantines useless in combating COVID-19,0
Multiple Facebook posts shared hundreds of times claim â€œviruses do not harm or kill [people]â€ and that any â€œharm and deathâ€ caused by a virus can be attributed to â€œthe overreaction of a weakened and dysfunctional immune systemâ€.,0
63 intensive care beds were occupied by infected protesters,0
The new coronavirus vaccine has â€œdigitizable RNAâ€ that is â€œactivated by 5Gâ€ and can reactivate the virus.,0
"Children vaccinated against the flu are at a significantly higher risk of contracting other respiratory infections, including coronaviruses.",0
"Eduardo Leite, governor of Rio Grande do Sul, Brazil, is taking hydroxichloroquine and ivermectin against COVID-19",0
"A combination for hydroxychloroquine, azitromicin and zinc that is guaranteed to cure 99.9% of any COVID-19 patient",0
"Lojas Americanas, a Brazilian retail company, is offering free gift cards for families in distress caused by the pandemic",0
The vaccine against the new coronavirus has existed since 2001,0
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,0
"Brazilian City Halls receive R$ 19,000 in federal funding for each recorded COVID-19 death.",0
Facebook posts claimed that British Columbiaâ€™s top health officer warned about the risks of asbestos poisoning from plywood boards used as barriers against COVID-19 transmission during certain types of sex.,0
"Herman Cain, one-time Republican presidential candidate, died of colon cancer, not COVID-19.",0
"Ziraldo, Brazilian cartoon artist, stated that all mayors who ordered lockdowns will not be reelected",0
Gargling water mixed with salt or vinegar will get rid of the novel coronavirus from oneâ€™s throat.,0
A doctor claims most Belgians are immune to COVID-19,0
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",0
An image claims that an immigrant who tested â€œpositive for COVID-19â€ and â€œarrived in a boat yesterdayâ€ has fled in the Calpe area (Alicante). The alleged escapeeâ€™s full name as well as the photo of the alleged escape appear in the image. It also claims the man fled the El Matorral detention center.,0
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",0
"During COVID-19 PCR test, microships are integrated to human bodies",0
Chloroquine is the cure for COVID-19 and masks should not be used.,0
The flu vaccine caused the spread of COVID-19.,0
A post claims several medicine combinations cure COVID-19,0
Chlorine dioxide removes the coronavirus from the body within 48 hours,0
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",0
Wearing a mask lowers the blood oxygen level.,0
"Philippine Education Secretary Leonor Briones is shown quoted as saying classes will resume on Aug. 24 amid the COVID-19 pandemic and that â€œif we die, we die.â€",0
"Critics say it is wrong to use of PCR tests for to detect COVID-19 since, in theory, this is not specific to SARS-CoV-2. It is a non-specific test in which genetic material from any organism can be detected and can potentially misidentify another virus as COVID-19.",0
"A video shows a group of doctors calling itself â€œDoctors for the truthâ€ defend and justify claims that masks donâ€™t work, lockdowns wonâ€™t stop the virus, and the flu vaccine spread SARS-CoV2.",0
Wearing a mask lowers the blood oxygen level.,0
"AndrÃ©s FabiÃ¡n Hurtado, the Mayor of IbaguÃ©, says his city lost four million jobs due to the coronavirus",0
"A doctor recommends the use of ivermectin, hydroxychloroquine, chlorine dioxide and interferon to cure coronavirus.",0
CoronaVac uses cells from aborted fetuses.,0
"Stella Immanuel claims that the drug combination of hydroxychloroquine, zinc and azithromycin is a cure and preventative for COVID-19 and that people donâ€™t need to wear masks or practice physical distancing in a Breitbart video featuring a group called Americaâ€™s Frontline Doctors.",0
A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19.,0
"A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",0
"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",0
An image shows a traffic accident where the driver allegedly died from hypoxia from wearing the mask.,0
The COVID-19 vaccine causes bad alergic reactions.,0
"A photo of a young man with a swollen face. Allegedly, he was a volunteer for Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil",0
"A Facebook post that claims that the COVID-19 is a â€œfraud,â€ because the mass media used the same photo of a portuguese boy in multiple stories about children who died from COVID-19.",0
A photo of man with swollen face shows side effect of CoronaVac in Brazilian volunteer,0
"Lemon, ginger and garlic cures coronavirus.",0
"The truck depicting the god of death Anubis is aimed at testing and then infecting people, which eventually ends with human microchipping.",0
An image that casts doubt on the tools used in rapid tests for coronavirus.,0
"A news article claims 30% of Ukrainian patients who participated in an American COVID-19 vaccine trial died. The test took place in the area of Lugansk, an Ukrainian separatist region",0
"Spanish Prime Minister, Pedro SÃ¡nchez, said this Monday, July 27 in an interview for â€˜Informativos Telecincoâ€™ that [min. 1:19] â€œin most of the [Spanish] territory the accumulated incidence of the virus is still very low, lower than I insist [â€¦] on the average also for the United Kingdomâ€.",0
The COVID-19 vaccine causes bad alergic reactions.,0
Video of a doctor at a press conference who said: Hydroxychloroquine is a cure for COVID-19. He also said that masks are not necessary.,0
A group called Americaâ€™s Frontline Doctors are featured in viral video claiming hydroxychloroquine cures COVID-19.,0
A post claimed that photos of a man in a gold mask are of a religious leader who â€œasked his congregation for a gold mask because God revealed it to him in a dream.â€,0
"Brazilian regulatory agency Anvisa labeled ivermectin a controled substance, because itâ€™s cheap and helps save lives.",0
The border between France and Belgium will be closed,0
Thereâ€™s chloroquine and ivermectine on lemon and orange peels,0
Brazilian CoronaVac volunteer reported body pain and fever after vaccination.,0
Doctors cannon lose their professional license for refusing to prescribe hydroxychloroquine.,0
"Multiple posts shared hundreds of times on Facebook and Twitter claim that four Ukrainian soldiers died after participating in American COVID-19 vaccine trials in the northeastern Ukrainian city of Kharkiv. The claim, published in several languages across different posts, was attributed to a police spokesperson in the self-proclaimed Lugansk Peopleâ€™s Republic.",0
Lawsuits filed against Fauci and Gates for creating and artificially disseminating the virus,0
A post claims to show three medications to prevent coronavirus.,0
A post from the Russian Virology Center that recommends an alkaline diet to fight coronavirus.,0
Thereâ€™s chloroquine and ivermectine on lemon and orange peels,0
Masks pores are too large to block virus,0
"A Facebook post claiming that the Italian minister for Education Lucia Azzolina wants to buy school desks at â‚¬300, while itâ€™s possible to find the same product online at â‚¬30.",0
The President of Ghana revealed that the coronavirus was created in a laboratory.,0
Masks Can Be Sanitized In Microwave,0
The border between France and Belgium will be closed,0
The nasal swab test for COVID-19 damages the â€œblood-brain barrierâ€ and can therefore lead to brain infections.,0
The World Health Organization announced that SARS-CoV-2 can stay in the air for eight hours.,0
"Multiple posts shared tens of thousands of times on Facebook and Twitter claim that a woman contracted pleurisy, a lung inflammation condition, after wearing a face mask for an extended period of time. According to the posts, the unidentified woman caught the disease because she was breathing in carbon dioxide and her own bacteria.",0
Pictures of a flooded NMCH hospital in Patna,0
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,0
"Publications that state that â€œthe new vaccine contains digitizable â€˜RNAâ€™â€, an alleged â€œreplicant that is activated by 5Gâ€ and that is why â€œthe virus can be reactivated after the patient recoversâ€",0
A ship carrying Honduran mobile hospitals caught fire,0
Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,0
"The Governor of Jujuy (Argentina), Gerardo Morales: â€œIn the Metropolitan Area [of Buenos Aires] 20% of those infected are health personnelâ€",0
"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for COVID-19, and is â€œspitting on doorsâ€",0
A video stating that in Brazil hospitals receive â‚¬3.000 for each Covid-19-related death.,0
A photo claiming to show Jair Bolsonaro hospitalized for coronavirus.,0
The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,0
"A general treatment for the new coronavirus includes antibiotics, anti-inflammatories and corticosteroids.",0
Cubaâ€™s low number of COVID-19 deaths is due to its use of hydroxychloroquine to treat patients,0
BoyacÃ¡ scientist says he can cure patients with COVID-19 through biology.,0
The active ingredients in chloroquine and ivermectin are also found in lemon and orange peels.,0
A photo claims to show a prescription list of medications to treat coronavirus at home.,0
"A randomized, double-blind study by Henry Ford Health System proved that hydroxychloroquine is effective against COVID-19",0
"A viral video where an interview from the Tierra Pura portal is disseminated to the doctor Mariana Colombres Garmendia, who denounces the overregistration of the numbers of people infected and killed by the COVID-19 disease in Argentina, and says that the Buenos Aires government pays the doctors or institutions for doing so for the alleged purpose of extending the quarantine",0
"A general treatment for the new coronavirus includes antibiotics, anti-inflammatories and corticosteroids.",0
Oxford Universityâ€™s vaccine is made using the cells of aborted fetuses.,0
"A post uses an image of an â€œundocumented Nicaraguanâ€ and claims he tested positive for COVID-19, and is â€œspitting on doorsâ€",0
The economic bonus for those who have low electrical energy consumption collects personal data and the government does not explain how it could be used.,0
"It s good to catch COVID-19 in the summer, as it is less aggressive",0
The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,0
5G generates the coronavirus SARS-CoV-2 in human skin cells.,0
The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus,0
"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",0
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,0
A Facebook video claims that a new oral spray â€œdeactivates 98% of the coronavirusâ€ in the mouth. This effect is believed to be partly due to the ability of trypsin to sever proteins on the surface of the SARS-CoV-2 virus.,0
Viral pictures show organ trafficking of COVID-19 patients dead bodies.,0
The president of Ghana said that the coronavirus was created in a laboratory,0
"The World Health Organization suspended production of an American COVID-19 vaccine, and promoted the Chinese version.",0
The COVID-19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,0
"The Government offered an economic bonus for those households that consumed less electrical energy. The process reflected problems and due to some amendments, the bond changed its objective.",0
The Centers for Disease Control and Prevention made a mistake and has lowered its COVID-19 case count in Florida.,0
The picture shown in the post is of Dr Sundar Tolani who died due to coronavirus,0
A claim that facemasks restrict breathing and cause hypoxia.,0
Ivermectin cures the new coronavirus.,0
"Coronavac, a Chinese vaccine against COVID-19 being tested in Brazil, is made with aborted fetus cells",0
COVID-19 Means â€˜See A Sheep Surrenderâ€™ In Latin,0
"Video shows that the first volunteer to be vaccinated with CoronaVac, a vaccine produced by chinese Sinovac Biotech, didnâ€™t have the arm punctured, which proves that the drug is a scam.",0
"Chlorine, bleach, or corrosive should be flushed down the toilet to prevent expansion of the coronavirus",0
The COVID-19 vaccine being developed in China is more effective and cheaper than the one developed by Oxford University.,0
"A video shows a candidate in the upcoming New Zealand elections claiming that the countryâ€™s prime minister, Jacinda Ardern, authorised the military to enter private residences in order to enforce COVID-19 quarantine measures. It has been viewed tens of thousands of times in multiple posts on Facebook in July 2020.",0
"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.",0
RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.,0
A post claims the COVID-19 swab test can cause brain inflamation.,0
The EPS tested less than 5% of the inhabitants of CÃ³rdoba for COVID-19,0
A video shows the execution of a journalist who denounced wasteful spending in city hallâ€™s work to combat COVID-19 in the Brazilian state of ParÃ¡,0
RNA-based COVID-19 vaccines can turn humans into genetically modified organisms.,0
"According to the Brazilian Civil Registry, there were more deaths in 2019 than in 2020, considering the first semester only.",0
"A video from family doctor Natalia Prego Cancel criticizing PCR, the test used to detect coronavirus in active infections.",0
A post that has a list of recommendations to prevent and treat the new coronavirus.,0
A post claims the COVID-19 swab test can cause brain inflamation.,0
"A video that supposedly shows medical staff protesting because the pandemic is a â€œfraudâ€, something not real.",0
"The Brazilian federal government dismissed 396,000 civil servants who received fraudulent COVID-19 emergency assistance.",0
A post shared thousands of times on Facebook claims the novel coronavirus does not affect people who are very fit or thin.,0
Masks can be sanitized in microwave,0
"The first person to received a Chinese COVID-19 vaccine that is being tested in Brazil was not actually vaccinated. The video was just a simulation, since the cap of the injection was still on.",0
"Non-contact thermometers emit infrared rays, which damage the pineal gland just behind the forehead.",0
An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,0
A post that shows a doctor from Santiago del Estero (Argentina) who is fighting against the coronavirus.,0
"Drinking water boiled with turmeric powder, ginger, carom seeds and coriander seeds can cure COVID-19.",0
An image that supposedly shows the results of vaccination campaigns on children in Sierra Leone,0
The government has ordered re-opening of schools and colleges.,0
"A chain indicating that a newborn named MartÃ­n Sosa is admitted to the Childrenâ€™s Hospital (CABA, Argentina).",0
Authorities discreetly re-authorised hydroxychloroquine for COVID-19,0
A post that indicates that Spanish doctors say that face masks donâ€™t work outdoors.,0
"Supporters of ABS-CBN, including actor Gerald Anderson, gathered together and violated quarantine rules by not wearing face masks during the COVID-19 pandemic.",0
Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,0
"A post shared more than a thousand times on Facebook claims that a corpse of a COVID-19 positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",0
"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new coronavirus.",0
"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",0
"A student for Pondicherry University found a home remedy cure for COVID-19 which was accepted by WHO. Mixing black pepper powder, ginger and honey and consuming it for 5 days will cure the person of the new coronavirus.",0
"The Federal Government fired 396 thousand public servants who received, illegally, the emergency COVID-19 allowance.",0
Authorities decided to close the French-Spanish border,0
Inhaling eucalyptus prevents or eliminates the new coronavirus,0
Ghanaâ€™s president backs conspiracy theories about COVID-19.,0
"Uruguay gave 55,000 doses of medecine for Brazil to fight COVID-19.",0
"An audio that denounces the falsification of death certificates at the Hospital de ClÃ­nicas (CABA, Argentina) to increase deaths from coronavirus.",0
Authorities decided to close the French-Spanish border,0
Brazil recorded more deaths in the first half of 2019 than in the first half of 2020.,0
"All those who registered for the governmentâ€™s emergency subsidy program (ESP) via the ReliefAgad app will have to claim their cash aid via GCash, regardless of the payout method they selected in the app.",0
The government has ordered re-opening of schools and colleges.,0
"A post shared more than a thousand times on Facebook claims that a corpse of a COVID-19 positive person is 100 times more â€œtoxicâ€ 72 hours after death â€” and that because undertakers are not burying bodies within this prescribed period, funerals have become hotspots for further infections.",0
"Comedian Michael V, also known as â€œBitoy,â€ died after contracting the new coronavirus.",0
"Gasoline or diesel can be used to disinfect surfaces and hands to kill the SARS-CoV-2 virus, which causes COVID-19.",0
Authorities discreetly re-authorised hydroxychloroquine for COVID-19,0
"Masks do nothing to prevent the spread of pathogens, including SARS-CoV-2, and cause oxygen deficiency",0
"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",0
Raisin prevents clotting thus helps to fight COVID19,0
"An ordinance that punishes minors and their parents for violating quarantine rules took effect on Monday, July 20.",0
"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",0
"Ivermectin has had good results in the COVID-19 treatment in Bolivia, the Dominican Republic, New Zealand, Australia, and African countries.",0
"A claim has been shared repeatedly in multiple posts on Facebook, Instagram and other websites in July 2020 that top medical experts from the World Health Organization (WHO), US Centers for Disease Control and Prevention (CDC) and The New England Journal of Medicine have warned against wearing face masks because they can cause â€œsevere health issuesâ€.",0
"Multiple Facebook posts shared tens of thousands of times claim the novel coronavirus, which causes the disease COVID-19, has infected far fewer people than the H1N1 virus, or swine flu, but â€œmedia hysteriaâ€ has prompted an overblown response.",0
"A viral message that says that â€œthose over 60 years of ageâ€ can get from pharmacies â€œa pack of three masks per month (â€¦) from Wednesday 29 July.â€ The text is shared as coming from the Spanish regions of Andalusia, Catalonia, Castilla y LeÃ³n, the Valencian Community or the Basque Country.",0
Nokia distributing free phones to students amidst coronavirus pandemic,0
A graph that correlates greater vaccination against influenza in those over 65 years of age and a higher mortality rate compared to COVID-19.,0
"The video of a huge crowd not maintaining social distancing is from All India Institute of Medical Science (AIIMS), Patna (a city in the state of Bihar).",0
Raisin prevents clotting thus helps to fight COVID19,0
French doctors protest after discovering COVID-19 pandemic is a fraud.,0
"A picture showing the Italian Prime Minister Giuseppe Conte, the French President Emmanuel Macron and the German Chancellor Angela Merkel having a drink together, with no masks and not respecting social distancing measures.",0
"A person who visited Badusha Hypermarket, Perambra was found COVID-19 positive and hence all those who have visited the hypermarket on 16th July 2020 are asked to report to Perambra Taluk Hospital.",0
"Obama, Dr. Fauci visited Wuhan lab in 2015",0
Neem tea is the â€˜solutionâ€™ for COVID-19,0
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,0
"A publication that claims that in 1918 the American city of Philadelphia â€œprematurely ended its quarantine of the Spanish flu and launched a demonstration against the measures of staying at homeâ€, which led to a peak of infections, hospitalizations and deaths.",0
Covid 19 : â€˜Achha Chalta Huâ€™ Boy breathed his hast after singing a Hindi song.,0
A picture of the coronavirus-infected patientâ€™s throat.,0
An image in which two people turn their backs to the State ceremony that took place this July 16 in honor of the victims of COVID-19. He moves with a message that they are members of Podemos who turned around while King Felipe VI spoke.,0
"A car blew up in BelÃ©m, Brazil, because the driver cleaned his key with alcohol-based hand sanitizer.",0
COVID-19 asymptomatic carriers transmit antibodies to other people.,0
WHO changed its directives: No need to isolate infected people.,0
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,0
There is no evidence that Mentholatum and eucalyptus prevent the development of COVID-19 in the human body.,0
Podemos politicians turned around at the state ceremony for COVID-19 victims,0
"Porto Feliz, a Brazilian city in the state of SÃ£o Paulo, doesnâ€™t register deaths from COVID-19 since it adopted a treatment protocol with chloroquine.",0
"The governor of Bahia, Rui Costa, determined that all hydroxychloroquine tablets were confiscated from pharmacies around the state.",0
"A quote by doctor Alberto Zangrillo, saying that Covid-19 is a consequence of immigration.",0
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,0
"The â€œMozhemeâ€ coalition is connected to the newly infected COVID-19 patients, although it has nothing to do with this issue.",0
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,0
A map of Sri Lanka was shared with certain cities highlighted as the places visited by close contacts of Kandakadu COVID19 cluster,0
For a couple of days a message has been circulating in which users are invited to make a request for help to the National Government through a form in the Colombian government,0
A photo that shows Brazilian president Jair Bolsonaro hospitalized with a tube coming out of his nose. The caption links this photo to COVID-19.,0
A picture of the coronavirus-infected patientâ€™s throat.,0
Facebook posts shared thousands of times claim that the US Federal Emergency Management Agency (FEMA) is offering hazard pay compensation to individuals who worked during the novel coronavirus pandemic.,0
Doctors can steal your fingerprints or data with the pulse oximeter,0
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,0
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,0
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,0
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,0
The city of Manizales estimated its cycloband during COVID-19 greatly reduced greenhouse gas emmissions.,0
French Prime Minister and Health Minister were expelled from the government after banning chloroquine in the country.,0
Chinese scientists have publicly stated that the coronavirus is lab-made,0
"A video with text that claims to offer information about the coronavirus that â€œcomes from the Japanese Ministry of Health.â€ It claims that when the first symptoms of the infection appear, the lungs already show 50% fibrosis.",0
PCR tests damage hemato encephalic barrier,0
COVID-19 hospital flooded in Bihar,0
US Education Secretary Betsy DeVos said children are â€œstoppersâ€ of coronavirus.,0
PCR tests damage hemato encephalic barrier,0
5G technology creates coronavirus in human cells,0
Singaporeâ€™s Health ministry issued an advisory about the day-to-day progression of COVID-19 symptoms in patients during the first nine days of infection.,0
Extensive mask wearing weakens the immune system because you canâ€™t breathe properly through them,0
Some statements by the American political scientist and activist Susan George in which she says that â€œSpaniards are laboratory rats: letâ€™s see how much punishment they tolerate without rebelling.â€ The phrase is shared related to the current coronavirus pandemic.,0
A supposed doctor recommends in a video inhaling â€œantiseptic alcoholâ€ to â€œfight the new coronavirusâ€,0
A video of a man attacking a cashier at a McDonaldâ€™s restaurant has been viewed thousands of times in multiple posts on Facebook alongside a claim it happened in Singapore.,0
The private health system began offering antibody tests to detect COVID-19. At the same time that the Ministry of Health said it would buy antigen tests.,0
A video claims Italy discovered that COVID-19 is bacteria not a virus,0
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,0
"Anthony Fauci is married to the sister of Ghislaine Maxwell, who was arrested in the U.S on charges of human trafficking.",0
The swabs used in COVID-19 RT-PCR testes can damage your blood-brain barrier.,0
Average daily deaths recorded in Brazil in 2020 is lower than 2019.,0
The swabs used in COVID-19 RT-PCR testes can damage your blood-brain barrier.,0
Video says face masks are ineffective in mitigating transmission of COVID-19 and are harmful to the wearer.,0
The coronavirus is an amplified bacterium and is related to 5G.,0
Average daily deaths recorded in Brazil in 2020 is lower than 2019.,0
A video of a man attacking a cashier at a McDonaldâ€™s restaurant has been viewed thousands of times in multiple posts on Facebook alongside a claim it happened in Singapore.,0
A text that ensures that the guava tree leaf can â€œprevent or reverseâ€ the effects of COVID-19.,0
